time,bid,ask
1525776384,18.099200,18.100000
1525776386,18.099300,18.100000
1525776393,18.099400,18.100000
1525776396,18.099500,18.100000
1525776401,18.099600,18.100000
1525776404,18.099700,18.100000
1525776407,18.099800,18.100000
1525776412,18.099900,18.100000
1525770928,18.370600,18.499800
1525803698,18.080200,18.162900
1525776556,18.099900,18.120000
1525776557,18.100000,18.120000
1525776559,18.100100,18.120000
1525776571,18.100200,18.120000
1525776575,18.100300,18.120000
1525776577,18.100400,18.120000
1525776578,18.100500,18.120000
1525776582,18.100600,18.120000
1525776586,18.100700,18.120000
1525776588,18.100800,18.120000
1525776591,18.100900,18.120000
1525776593,18.101000,18.120000
1525776598,18.101100,18.120000
1525776601,18.101200,18.120000
1525776607,18.101300,18.120000
1525776611,18.101400,18.120000
1525776613,18.101500,18.120000
1525776615,18.101600,18.120000
1525776618,18.101700,18.120000
1525776623,18.101800,18.120000
1525776627,18.101900,18.120000
1525776632,18.102000,18.120000
1525776635,18.102100,18.120000
1525776639,18.102200,18.120000
1525776643,18.102300,18.120000
1525776648,18.102400,18.120000
1525776649,18.102500,18.120000
1525776652,18.102600,18.120000
1525776658,18.102700,18.120000
1525776659,18.102600,18.120000
1525776660,18.102800,18.120000
1525776661,18.102600,18.120000
1525776663,18.102800,18.120000
1525776672,18.102900,18.120000
1525770971,18.352000,18.498200
1525776676,18.103000,18.120000
1525776680,18.103100,18.120000
1525770972,18.352100,18.498200
1525776683,18.103000,18.120000
1525776687,18.102900,18.120000
1525776688,18.103100,18.120000
1525776693,18.103200,18.120000
1525776699,18.100600,18.120000
1525776700,18.103300,18.120000
1525776708,18.103400,18.120000
1525776710,18.103400,18.120000
1525803745,18.080600,18.162500
1525776712,18.103500,18.120000
1525776726,18.103600,18.120000
1525776729,18.103700,18.120000
1525776732,18.103800,18.120000
1525776755,18.103900,18.120000
1525776758,18.104000,18.120000
1525776759,18.104100,18.120000
1525766361,18.348700,18.439200
1525776767,18.104200,18.120000
1525776768,18.104100,18.120000
1525776769,18.104000,18.120000
