time,price,volume,buy_or_sell,market_or_limit,misc
1525776384.5657,18.100000,5.10000000,b,l,
1525776384.5402,18.100000,20.02002002,b,l,
1525762976.304,18.200000,187.10173649,s,m,
1525776387.175,18.100000,222.46646647,b,l,
1525776390.8882,18.100000,111.21521522,b,l,
1525792775.7779,18.108000,3.97614314,b,l,
1525776392.6125,18.100000,119.40240240,b,l,
1525760009.2729,18.377200,0.00000469,b,l,
1525869113.7032,17.873700,6.92000000,s,l,
1525776396.2834,18.100000,115.56495005,b,l,
1525779850.4735,17.800200,134.27923745,s,l,
1525776399.4358,18.100000,29.17897898,b,l,
1525882896.9375,17.923100,15.94104104,b,l,
1525833355.9263,17.502100,100.00000000,s,l,
1525874484.546,17.750000,90.75323553,s,l,
1525772292.627,18.418400,1.68000000,b,l,
1525887799.5996,17.800000,697.39037886,s,m,
1525746822.4098,18.250000,5.00000000,b,m,
1525776419.3875,18.100000,0.00015963,b,l,
1525776421.7185,18.100000,4.36218200,b,l,
1525890965.9577,17.718600,4.56642900,s,l,
1525753180.6692,18.411200,4.86665409,b,m,
1525776426.0414,18.100000,3.27054500,b,l,
1525841963.1004,17.249500,41.68000000,s,l,
1525795506.9798,18.155000,250.00000000,s,l,
1525760046.9622,18.400000,12.00000000,b,m,
1525776288.2421,18.100000,115.37876266,b,l,
1525768241.8664,18.654600,50.00000000,s,l,
1525776556.915,18.100000,23.59650233,b,l,
1525874740.3345,17.700000,17.98200000,s,l,
1525773288.7459,18.142600,10.00000000,s,l,
1525809206.594,18.259100,4.06853216,b,l,
1525760009.2586,18.377200,3.26955521,b,l,
1525750452.0319,18.320000,68.36009164,b,l,
1525776442.6659,18.100000,6.07957958,b,l,
1525780001.2449,17.739200,366.24102156,s,m,
1525759848.5403,18.254400,0.03582782,s,m,
1525809213.9832,18.330000,22.23188986,b,l,
1525841982.5302,17.366800,18.99585640,b,m,
1525776447.4208,18.100000,20.00000000,b,l,
1525797830.4285,18.020100,21.68275484,s,m,
1525773669.1663,18.200000,158.00000000,b,l,
1525776456.6092,18.100000,77.60300000,b,l,
1525747724.0404,18.447000,28.17600000,s,m,
1525854709.3945,17.478600,6.92000000,b,l,
1525776459.5747,18.100000,33.29189189,b,l,
1525773683.3398,18.291500,10.00000000,b,l,
1525765474.4752,18.340000,2.58396947,s,l,
1525776462.1784,18.100000,104.74640000,b,l,
1525753028.2617,18.450000,0.05055907,b,m,
1525746855.2395,18.300000,0.00006369,b,l,
1525870606.4166,17.840100,17.70230000,s,l,
1525874775.3122,17.700000,45.10675968,s,l,
1525827022.1947,17.849900,0.00000213,b,m,
1525858394.7998,17.572300,51.79515283,s,l,
1525776399.4117,18.100000,991.84500000,b,l,
1525842012.8761,17.369400,5.39666229,b,l,
1525842298.7939,17.275200,26.10763584,s,l,
1525778199.1358,18.030000,15.56400000,s,l,
1525773669.1727,18.200500,3.00000000,b,l,
1525776482.2958,18.100000,54.00000000,b,m,
1525864454.0099,18.099500,0.00003185,b,m,
1525817444.9935,17.969300,0.00000212,b,l,
1525768293.6735,18.663800,7.00700701,b,l,
1525817446.3223,17.970000,99.34830000,b,l,
1525776487.0344,18.100000,53.08020000,b,l,
