time,bid,ask
1525874688,742.09000,742.59000
1525809154,749.11000,749.64000
1525874691,742.00000,742.58000
1525809156,749.11000,749.74000
1525874694,742.00000,742.06000
1525874695,742.03000,742.06000
1525809160,748.90000,749.74000
1525809161,748.90000,749.61000
1525809162,749.11000,749.61000
1525874690,742.09000,742.58000
1525809167,749.11000,749.73000
1525809170,748.60000,749.73000
1525809171,748.61000,749.73000
1525809172,749.11000,749.73000
1525809174,748.80000,749.73000
1525809176,748.81000,749.74000
1525809007,746.31000,746.93000
1525809180,748.81000,749.70000
1525874723,741.00000,742.58000
1525809188,748.82000,749.70000
1525874727,741.01000,742.10000
1525874729,741.01000,742.58000
1525768645,756.00000,756.72000
1525874731,741.03000,742.58000
1525874732,741.04000,742.58000
1525874733,741.04000,742.30000
1525809200,748.90000,749.70000
1525874738,741.07000,742.30000
1525874740,741.08000,742.30000
1525874741,741.08000,742.57000
1525809207,749.12000,749.70000
1525874744,741.08000,742.20000
1525800484,739.68000,740.80000
1525809210,749.12000,749.74000
1525809211,749.12000,750.50000
1525874748,741.20000,742.20000
1525809213,749.15000,750.40000
1525874750,741.11000,742.20000
1525874751,741.11000,742.58000
1525809216,749.15000,750.40000
1525874753,741.20000,742.58000
1525795931,735.00000,735.06000
1525809220,749.13000,750.40000
1525809222,749.13000,750.30000
1525809224,749.12000,750.30000
1525809226,749.18000,750.20000
1525874764,742.20000,742.30000
1525809231,749.13000,749.18000
1525809232,749.13000,750.00000
1525809235,749.12000,749.13000
1525809236,749.12000,749.80000
1525809238,748.82000,749.13000
1525809239,748.82000,749.80000
1525809240,748.82000,749.47000
1525765476,759.24000,759.98000
1525809242,749.00000,749.46000
1525809245,748.82000,749.46000
1525809247,748.55000,748.80000
1525809248,748.55000,749.44000
1525809249,748.55000,748.79000
1525874787,742.20000,742.58000
1525809254,748.55000,749.40000
1525809255,748.55000,748.76000
1525874793,742.20000,742.57000
1525809259,748.76000,749.50000
1525809261,748.56000,749.50000
1525809262,748.56000,749.20000
1525806319,746.80000,747.80000
1525874803,742.20000,742.57000
