Trade_volume,Number of trades with that volume
0.5,5915
1.5,3764
2.0,5614
3.0,4155
4.5,513
5.0,20919
0.75,366
1.0,12863
8.5,59
9.0,1657
10.0,2703
11.0,273
12.0,580
13.0,214
14.0,199
15.0,601
16.0,140
17.0,745
18.0,87
3.5,309
20.0,1786
21.0,65
22.5,147
23.0,47
24.51948281,1
25.0,570
26.46298471,1
27.0,29
28.0,40
29.0,22
30.0,203
0.25,2385
32.0,13
33.0,24
34.0,18
35.0,46
1.25,541
6.0,739
38.0,15
39.0,12
40.0,109
41.0,10
42.0,18
7.0,453
44.0,13
45.0,39
46.0,8
47.29566946,1
48.0,12
8.125,2
50.0,449
51.694254,1
52.0,8
53.0,4
54.0,3
9.5,42
56.0,2
57.0,3
58.0,13
59.0,7
60.0,111
10.02574052,1
62.0,7
63.0,5
64.0,3
65.0,9
2.5,748
11.25,1
68.02774187,1
69.0,1
70.0,9
71.78751689,1
72.0,4
12.5,57
0.35654086,1
75.0,26
76.5018,1
7.62,1
78.0,3
13.5,312
80.82043273,1
81.43979371,1
82.0,2
83.0,2
84.0,1
14.39505835,1
86.00379862,1
87.05108952,1
88.0,3
7.498,5
90.0,282
15.5,17
92.0,1
93.0,2
94.0,4
95.0,9
3.625,4
16.5,9
2.04902937,2
99.00577503,1
100.0,230
101.0,1
0.1652,1
103.25,1
105.44043532,2
0.45670675,1
4.72177748,1
108.32703296,1
18.5,8
110.0,2
112.0,1
3.68705035,1
114.0,1
19.0,62
116.0,2
117.37016266,1
0.44983558,1
119.798,1
0.02512385,1
20.5,7
0.2651351,1
123.96864467,1
124.9819,1
125.904,1
4.0,2121
21.5,3
0.27219427,1
129.75334735,1
2.6009009,1
131.0,1
132.0,1
22.0,65
134.211,1
135.8905327,1
136.27680044,1
3.72086622,1
23.5,2
140.30282846,1
142.59761398,1
0.04339703,1
144.21243295,1
24.0,37
146.82174231,1
147.49,1
1.8880875,1
150.0,21
25.5,3
152.279,1
153.89934079,1
154.221,1
155.44742593,1
0.375,93
26.0,37
158.0020359,1
3.56290249,1
0.02258661,1
162.0,1
27.5,2
164.69308916,1
166.18614297,1
167.23917553,1
31.18337722,1
28.5,2
171.85368625,1
0.2220041,1
173.01596909,1
0.7397394,1
29.95058451,1
176.0,1
13.95126661,1
0.23792213,1
179.88622734,1
180.0,2
1.75,64
183.61009829,1
0.01788818,1
6.25,29
31.0,22
188.7237,1
0.00648013,1
0.0711996,1
0.11421335,1
195.0,3
198.5,1
33.07050755,1
200.0,30
202.99990067,1
204.6078,1
205.0,3
207.97725713,1
208.76164926,1
35.57064197,2
1.1878105,1
213.40206128,1
0.50530531,1
7.625,4
36.0,18
218.11806398,1
0.10042395,1
220.4511,1
2.7468624,1
222.11920592,1
37.0,14
0.05544132,1
1.08308308,1
1.0179,1
38.00967254,1
230.971,1
231.08305851,1
0.14036058,1
234.26609938,1
39.48657813,1
236.76539456,1
0.97522743,1
239.67365651,1
0.04021573,1
40.53603905,1
1.262052,2
8.0,527
41.35709763,1
0.02459073,1
250.0,10
2.97464974,1
42.53997611,1
1.07372208,1
255.365,1
0.64901347,1
0.44563777,1
2.2054,2
43.0,6
17.96677617,1
261.509,1
44.2299951,2
0.14716782,1
267.799,1
270.35730087,1
45.21875,1
272.288,1
1.94941869,1
0.00408281,1
275.0,1
9.75,6
46.899,1
0.42864861,1
279.635,1
280.34057936,1
0.15956494,1
0.42363563,1
47.46003607,1
5.20357643,1
0.09974103,1
0.33730194,1
0.08757885,1
48.9239,1
2.2910067,1
291.922,1
0.01198402,1
0.8706,2
49.0,11
4.1556,1
0.76,45
300.0,5
50.11349421,1
0.7236159,1
10.5,31
51.202,1
1.14136246,1
0.28769281,1
312.44003587,1
52.25,2
4.8929,1
53.40822598,1
0.12557597,1
0.04854678,1
0.33834958,1
1.0581,1
54.077,1
2.9390337,1
0.02609966,1
2.25,49
6.84670675,1
11.5,14
337.0652,1
0.11162168,1
339.93721925,1
342.376,1
57.8451278,1
7.17552042,1
0.48831447,1
347.8771021,1
2.11817976,1
349.039536,1
0.71838703,1
0.01003068,1
2.9331,1
59.375,1
1.202654,1
358.0,1
0.16217529,1
0.00030941,1
0.02044356,1
365.32501903,1
12.625,1
61.0,3
2.81813455,1
4.35719204,1
0.64427459,1
375.451,1
0.17337337,1
6.12656274,1
63.83814923,1
8.61015784,2
0.35000771,1
0.06070201,1
0.35224717,1
387.39300697,1
1.75949759,1
0.94098419,1
0.0985859,1
394.3341338,1
13.125,2
66.0,4
0.74310296,1
399.366,1
0.03732986,1
403.826,1
404.991,1
409.0,1
410.0,1
1.77753771,1
0.26992604,1
69.53029841,1
0.06285355,1
0.05951085,2
418.0,1
419.65629904,1
1.7858,1
70.03909775,1
423.6195057,1
1.4316671,1
14.5,11
71.0,4
0.59859618,2
16.60179679,1
0.03604249,1
72.32903918,1
435.48882243,1
1.6137596,2
0.00150764,1
0.83004718,1
73.0,3
0.84461962,3
74.55307323,1
4.86849285,1
0.14541749,1
449.30454377,1
2.7858,1
75.4665,1
1.64839518,1
0.25530776,1
15.75,1
76.0,1
0.08736194,1
48.25378886,1
0.62249998,1
0.31382623,2
77.57992069,1
0.05521847,1
1.14787451,1
78.4509524,1
0.25869334,2
471.203,1
79.56973209,1
0.43652265,1
3.4108,1
80.0,58
1.52022222,1
16.125,1
0.21961959,1
1.36296443,1
82.65659395,1
0.95837367,1
495.0,1
0.02071816,1
3.14848086,1
83.356,1
500.0,6
0.80381646,1
0.13275374,1
0.16956328,1
84.269,1
4.87955,1
85.0,5
0.47749288,1
1.91494831,1
2.02554783,1
0.0188812,1
17.5,10
86.0,6
0.21025633,1
522.741,1
87.92237015,1
525.70903144,1
0.00332727,3
0.06107763,1
88.69591255,2
1.14650237,1
9.07439951,1
0.14302106,1
7.91430376,1
537.829,1
1.5393389,1
90.33948619,1
0.3715847,1
52.92393584,1
0.06560528,1
0.02010058,1
2.076,3
91.0,1
548.108,1
0.54089097,1
0.0254774,1
92.0924,1
0.00066382,1
0.13000089,1
0.48798092,1
93.09326517,1
0.05313185,1
0.48053625,1
94.207,1
0.18916307,1
95.45010198,1
4.06177333,1
2.8152,1
19.5,7
0.02166158,1
0.00021984,1
0.97486446,1
97.0,1
0.04882233,1
586.001,1
98.56447741,1
28.75585759,1
4.9566098,1
0.04043643,1
99.0,3
0.046875,1
600.0,1
100.5,1
0.21471402,1
0.00927514,1
605.6458662,1
20.75,1
20.892,2
3.51387802,1
0.14855301,1
1.2412,1
102.0,1
51.4132,1
84.99618487,1
2.09370982,1
0.16731835,1
103.543,1
0.61614091,1
4.87629325,1
104.14452251,1
2.47588232,2
0.01273741,1
0.5274,1
4.625,3
0.036175,1
21.25,1
106.44514999,1
4.70883353,1
0.47181071,1
0.089037,2
2.8037,1
0.07159618,1
0.76282653,1
0.06286286,4
0.01398021,1
0.17187605,1
1.77195208,1
22.875,1
0.3248,1
0.30953613,1
0.05757036,1
1.9076,1
1.00900384,1
113.0462,1
0.06227341,1
1.74244381,1
2.2178799,1
114.606,1
0.30901546,4
0.02880995,1
0.02049999,1
3.01477499,1
115.28526933,1
0.02503299,1
116.79219458,1
0.05534,1
4.9912,1
0.07924108,1
0.17546797,1
0.11668395,2
2.90992651,2
1.52216642,1
118.14120913,1
0.64896552,1
9.13173653,1
714.3313538,1
0.56223564,1
0.01995611,1
120.0,67
0.02916837,1
1.78158815,1
6.79319562,2
24.51207402,1
0.15055515,1
122.82072366,1
0.06826787,1
2.0314,1
123.0,1
1.75230437,1
3.24502371,1
742.62943114,1
0.02414503,1
124.2844,1
0.0206323,2
0.57610876,1
125.0,1
0.04989071,1
0.00048554,1
1.59985564,4
2.31666598,1
1.29439718,1
21.017,1
8.24719065,1
10.13315423,1
13.19729325,1
6.32323297,1
0.00026355,1
4.84671941,1
0.72136587,1
0.25421652,1
0.00226103,1
129.91914721,1
776.80735325,1
0.27929915,1
1.62123,1
5.625,2
0.06725492,1
1.7880655,1
26.5,2
4.83465427,1
2.508,4
0.02969349,1
133.7822999,1
0.05313099,1
0.05939964,1
1.8841,2
134.37148429,1
0.27190731,1
0.01775275,1
135.212,1
0.31009548,1
9.95315275,1
136.97838171,1
818.32100427,1
0.01194262,1
1.67974379,1
0.27884387,1
0.46319338,1
0.08823822,1
0.2636,1
1.478,14
1.0458665,1
0.0779,3
0.09977908,1
2.8216,1
139.9512158,1
0.20941046,1
140.0,1
0.27255876,1
0.5136858,2
0.05392981,1
0.21823714,1
0.4187828,1
1.48787494,1
15.36166634,1
5.90997373,1
9.97124019,1
3.6341,1
144.19826487,1
2.79605363,1
0.0223,7
23.16538773,1
29.03800185,1
146.394,1
0.0410124,1
58.43897866,1
5.5211,1
3.12846937,1
148.77030128,1
6.04278623,1
4.52082047,1
3.1668,1
0.3279,2
0.1458919,1
2.30495641,1
1.17085738,1
1.00277855,1
150.43852426,1
1.125,21
4.18028732,1
13.64349997,1
0.02155169,1
0.12929422,1
1.03919048,1
0.03887357,1
14.696,1
7.74377961,1
0.16559339,1
0.06260001,1
5.3841,1
154.58514886,1
0.22133684,1
2.0493,1
6.75,17
36.62441488,1
0.21305445,1
31.5,4
156.0,1
0.4576785,1
157.82066433,1
0.06249656,1
10.39146279,1
1.46925772,2
0.00186377,1
