Trade_volume,Number of trades with that volume
34.05097,17
1.82009708,1
2.05931,1
2051.02,1
4.53976548,1
5.44195,1
6.9296,1
7.35841,1
8.95138,1
9.75496,1
10.71925,1
11.94066,1
12.71976,1
2.24104685,1
14.88348303,1
15.08213121,1
16.00676425,1
17.19300559,1
18.96581879,1
19.13145,1
20.02002002,1
21.57301728,1
22.06056686,1
23.3287,1
24.29299,1
25.1001,1
26.5599349,1
27.36600281,1
5.67479,1
29.94011976,1
30.73112405,1
31.976,1
32.18107,2
33.6264,1
34.04206,20
35.94339252,1
0.00228626,1
37.4354654,1
38.45539634,1
39.60895244,1
40.41181915,1
2089.69414546,1
42.93413756,1
43.44901205,1
44.24015656,1
45.02413838,1
0.59856258,1
47.86378508,1
48.4805,1
8.98221302,1
50.0,2
51.0,1
186.043,1
53.1454997,1
54.33566433,1
9.40368,1
56.08506805,1
58.19212,1
59.62146932,1
60.94297562,1
10.88391,2
62.9,1
63.96006595,1
34.03531,20
0.04403306,1
343.962,1
11.14644035,1
10308.52262022,1
69.76521273,1
0.00069506,1
0.00071742,1
12.51654272,1
74.99084,1
75.0,301
76.4562793,1
354.74,1
78.1454997,1
13.01346,2
34.07476,17
81.74015656,1
33.0888,2
14.85746,1
86.677,1
87.11132,1
176.312,1
90.48345834,1
15.45857098,1
149.46689,1
93.60146499,3
94.81037924,1
357.309,1
34.0889,3
16.14234342,1
98.46363258,1
99.8003992,1
100.47567432,1
101.72787,1
2150.72865098,2
103.34645041,1
104.5,1
105.0,1
106.8214143,1
107.97346653,1
208.63422,1
18.0,2
110.89533286,1
0.00215386,1
112.73152083,1
113.89103599,1
140.908,1
19.4578197,1
159.511,1
34.07018,1
2.94038649,1
20.88116,1
250.571,1
12593.0102822,1
362.291,1
21.28546,1
34.04712,1
1709.961,1
130.17828171,1
363.589,1
132.27235,1
22.67498373,1
134.89475524,1
342151.03474441,1
136.2454567,1
30.16783,1
23.38973026,1
1e-08,2
265.756,1
143.69936222,1
34.02659,18
24.19724,1
146.55344655,1
147.359,1
33.58025,1
366.305,1
150.0,2
25.0,2
152.33063872,1
153.36360004,1
22.59238733,1
155.36554,1
5.0,3
26.17016073,1
158.105,1
159.764,1
160.212,1
161.87,1
12450.67675928,1
27.5425955,1
2.35e-06,1
165.631,1
166.488,1
167.17715938,1
31.57647123,1
28.91596683,1
170.2,1
171.564,1
172.305,1
370.861,1
174.46157685,1
29.48594733,1
34.05109,1
177.02,1
34.05296,2
179.791,1
74.9930836,1
30.1099,2
182.78,1
183.927,1
23.88917835,1
372.12038238,1
6.0,1
31.03525207,1
10429.74492348,1
0.0010936,1
34.06289,4
0.03296243,1
1.6e-07,1
195.66,1
8.93757,1
74.72847152,1
33.70182,1
200.0,101
201.146,1
203.88,1
204.76129774,2
34.0426,57
207.83921961,1
11.46083267,1
209.248,1
210.69284,1
35.5565647,1
212.308,1
213.956,1
8.93e-06,1
215.19,1
7.0,3
36.77388983,1
218.03,1
5.488,1
1402.30616938,1
222.464,1
37.5,3
3.32386595,1
2.6e-07,1
2274.42250499,1
228.94351023,1
206886.025,1
16.1816,1
232.92877834,1
233.901,1
33.60246,3
485.106,1
236.116,1
237.366,1
238.317,1
239.753,1
34.0629,8
241.9172,1
3.26834645,1
243.7,1
25.1132,1
34.05676,1
349.065,1
247.48469158,1
248.865,1
33.57995,5
4347.3602441,1
253.945,1
0.45697307,1
255.155,1
0.1992024,1
0.15936192,1
2306.78986135,1
43.11700638,1
513.511,1
311.463,1
263.1166835,1
44.9320498,1
317.255,1
267.265,1
13.72896405,1
386.495,1
0.00636176,1
45.3,1
0.05501108,1
273.293,1
34.05287,1
350.741,1
2e-08,1
281.588,1
283.15,1
34.07388,10
0.0007483,1
214.77054839,1
289.291,1
45347.4902,1
292.731,1
293.97696,1
294.65981912,1
49.13001803,1
14.19225,1
299.727,1
300.69860279,1
301.786,1
4.6e-07,1
34.04526,8
305.68984473,1
10.0,1
308.39,1
734.811,1
310.501,1
34.07151,4
312.409,1
313.073,1
315.264,1
3555.985,1
317.923,1
0.46195405,1
319.199,1
34.02725,22
321.358,1
322.43,1
323.652,1
324.58761553,2
54.7,1
326.877,1
327.72110889,1
328.846,1
11945.01037,1
79.84031936,1
55.94848454,1
17.59609625,1
333.366,1
334.955,1
335.905,1
0.0333992,1
337.981,1
1.42e-05,1
339.699,1
0.00444837,1
344.289,1
345.305,1
347.266,1
348.887,1
349.27134902,2
20.32602595,1
352.917,1
353.383,1
354.679,1
59.11448551,1
33.58664,6
357.935,1
358.281,1
359.83141937,1
360.235,1
361.415,1
34.15387,1
363.551,1
0.00207803,1
366.922,1
61.38473095,1
34.05743,34
24945.06600133,1
370.276,1
372.75070666,1
34.08981,2
375.387,1
6.22930638,1
4.21568635,1
34.08904,1
25.75275779,1
5.6e-05,1
16.0,1
30.06795,1
363.726,1
386.635,1
387.985,1
391.325,1
30.06584,3
174.435,1
2444.79107,1
397.174,1
398.4837,1
34.05284,1
401.10078688,1
6894.8437463,1
408.759,1
7.6e-07,1
18.02555967,1
412.572,1
410.352,1
4.56e-06,1
491.371,1
34.0614,15
411.34,1
3e-08,2
70.78431365,1
34.0872,1
34.08937,4
0.02295409,1
14.03468375,1
25792.75428838,1
429.46832469,1
431.88054,1
180.558,1
4168.90992375,1
434.972,1
1379.078,2
436.531,1
437.171,1
2486.483,1
348.604,1
10683.66633,1
74.9992204,1
446.143,1
12735.9684,1
34.085,1
0.07675728,1
176.458,1
34.07026,2
2500.0,9
455.007,1
456.528,1
458.932,2
459.5718,1
16.02772033,1
34.09464,3
465.798,1
466.633,1
467.884,1
24.01264,1
472.26688477,1
420.14453007,1
474.732,1
18.84598879,1
477.359,1
421.77,1
34.07573,1
482.34,1
483.774,2
33.08903,2
486.2096998,1
487.125,1
488.50068683,1
33.59404,37
423.931,1
492.029,1
493.801,1
10734.5414767,1
34.08717,40
497.92622377,1
221.912,1
499.40071914,1
25.09457,1
0.00437935,1
504.67693847,1
6.83926,1
507.11242083,1
509.701,1
85.10862,1
0.4235,1
1.86878589,1
175.516,1
34.06494,2
516.04809,1
74.92404797,1
187.329,1
3.18723829,1
187.194,1
523.138,1
0.01238286,1
217.797,1
528.363,1
19.7232,1
2.23e-06,1
172.146,1
9.98003992,1
34.05938,4
2587.0,1
540.883,1
541.748,1
543.31337325,1
34.0879,1
0.01992024,1
546.56714815,1
359.542,1
548.027,1
416.732,1
34.0447,14
2600.0,1
33.58352,1
177.03,1
93.101515,1
4e-08,1
6.4e-07,1
10.3940509,1
34.0774,11
565.70335989,2
34.09444,1
567.661,1
0.00012017,1
34.04815,15
1.21e-06,1
573.85229541,1
16.66691,1
34.04936,15
96.6210989,1
1042.156,1
580.499,1
240.025,1
43.36937746,1
97.72826,1
585.919,1
586.012,1
98.185,1
242.886,1
592.262,1
383.804,1
193.437,1
189.379,1
1.568e-05,1
175.932,1
602.73311523,1
20.0,1
607.245,1
34.04117,2
34.07106,1
14.33943,1
558.909,1
30.09896,1
620.28,1
70.75393559,1
678510.51539142,1
2671.95515133,1
34.08386,1
626.593,1
33.579,1
12734.47644822,1
630.571,1
105.1755045,1
0.02167974,1
55.40819107,1
634.301,1
34.06796,1
34.06139,14
362.659,1
12926.389,1
34.09224,1
107.752,1
644.598,1
649.437,1
30.16332839,1
0.574,2
33.58248,7
33.57591,5
22979.70550519,1
105.72826808,1
483.3787178,1
663.37325349,1
664.376,1
111.03296703,1
5.86311267,1
0.3482267,1
34.05478,69
112.62847619,1
676.307,1
170.523,1
113.40349067,1
31.63003,2
14.0968992,1
159.575,1
686.407,1
14.64247317,1
8.072e-05,1
313.043,1
34.06815,6
48.46849183,1
693.731,1
34.09432,1
696.167,1
2745.09763047,1
5e-08,1
458.6,1
34.09072,1
0.23526652,1
706.515,1
34.07386,31
74.99078,1
710.709,1
13001.389,1
160.73903,1
33.58356,4
34.08755,11
723.94103124,1
251.911,1
6.377e-05,1
24.9991,1
