Trade_volume,Number of trades with that volume
0.5,4
1.62,1
2.0,4
3.0,1
4.36403599,1
5.25402972,1
0.25,2
1.00992339,1
2.141,2
0.04996053,1
0.01020062,1
0.00375134,1
0.1289,1
0.98501383,1
0.19998876,1
0.0101,1
0.18493426,1
0.675,1
0.05919,1
0.09487764,1
0.04369396,1
0.00160533,1
1.0,24
6.238474,1
0.0029818,1
0.02368463,1
0.0042,1
0.05382263,1
0.03337812,1
0.35437,1
1.2231,1
0.01279188,1
0.00402726,1
0.07451071,1
0.15556208,1
0.32003569,1
0.44597597,1
0.0023928,1
0.218,1
0.10659802,1
0.10368975,1
0.0023,1
0.51277055,1
0.0063597,1
0.00375339,1
0.010624,1
0.00389851,1
0.01019642,1
0.04049339,1
0.0112073,1
0.03850731,1
0.00224476,1
0.00467263,1
0.01022284,1
0.011,2
0.007612,1
0.05813677,1
0.0058,1
0.2056,1
0.00082052,1
0.2263,1
0.52918732,1
0.15685007,1
0.035,2
0.15556538,1
0.00739951,1
0.22208103,1
0.11041028,1
0.2211587,1
0.01207301,1
0.2249,1
0.053,1
0.01182676,1
0.19,8
0.128,1
0.01525147,1
0.01027301,1
0.0107,1
0.045,2
0.0418,1
0.01022126,1
0.07855429,1
0.21963847,1
0.01318019,1
0.1035234,1
0.00439248,1
0.03096445,1
0.00045291,1
0.2447,1
0.11844148,1
0.08825444,1
0.00341967,1
0.029,1
0.00087541,1
0.00534051,1
0.20186323,1
0.01515312,1
0.00374127,1
0.55,1
0.021,1
0.77474987,1
0.0694,1
0.02504746,2
0.04,1
0.013,1
0.07369256,1
0.15289055,1
0.00734296,1
0.00375194,1
0.01038916,1
0.0191,1
0.01020391,1
0.005,17
0.01425376,1
0.01183082,1
0.12764823,1
0.00561057,3
0.08235684,1
0.94360966,1
0.19270724,1
0.2637,1
0.01023805,1
0.02039041,1
0.44381542,1
0.00066,1
0.10888106,1
0.00856716,1
0.19839644,1
0.00459205,1
0.25452404,1
0.00534182,1
0.10292311,1
0.03274329,1
0.13789469,1
0.1471564,1
0.08584153,1
0.01030674,1
0.05397193,1
0.01435811,1
0.00597924,1
