time,bid,ask
1526202368,13.888000,13.939800
1526464513,12.221300,12.322000
1526202370,13.820000,13.939800
1526202371,13.820100,13.939800
1526202372,13.820100,13.930000
1526202373,13.820200,13.930000
1526202374,13.820300,13.930000
1526464519,12.221000,12.322000
1526202376,13.820400,13.930000
1526464521,12.221500,12.322000
1526202378,13.830000,13.930000
1526202379,13.830000,13.929800
1526464524,12.221000,12.321200
1526202381,13.830100,13.929800
1526464526,12.221000,12.321000
1526202384,13.840000,13.920000
1526202385,13.840100,13.920000
1526202387,13.840100,13.920000
1526202389,13.840200,13.920000
1526202390,13.840200,13.945100
1526202391,13.840200,13.945000
1526464537,12.220400,12.320500
1526464538,12.220400,12.320400
1526202395,13.840300,13.940000
1526464540,12.221600,12.320300
1526464541,12.221600,12.320200
1526202398,13.840300,13.939400
1526202399,13.840900,13.939400
1526464544,12.220500,12.320000
1526202402,13.840900,13.930000
1526464547,12.220500,12.319700
1526464548,12.220500,12.319600
1526202405,13.840900,13.929800
1526202406,13.841000,13.929800
1526464551,12.220500,12.319500
1526202408,13.820300,13.920000
1526202409,13.841100,13.920000
1526464554,12.220500,12.319000
1526202411,13.820300,13.920000
1526202412,13.841200,13.920000
1526464557,12.220600,12.318900
1526464559,12.220600,12.318800
1526464560,12.220700,12.318800
1526202418,13.841300,13.930000
1526202420,13.841300,13.929600
1526202421,13.841400,13.929600
1526464567,12.220800,12.319400
1526202424,13.841400,13.920000
1526202425,13.841400,13.920000
1526464570,12.220900,12.318700
1526202427,13.841600,13.920000
1526464572,12.221100,12.318400
1526464573,12.221200,12.318400
1526464574,12.221300,12.318400
1526464575,12.221300,12.318300
1526202432,13.841600,13.919800
1526464578,12.221400,12.318300
1526202435,13.841700,13.919800
1526464580,12.221400,12.318300
1526202437,13.841800,13.919800
1526464582,12.221400,12.322200
1526202439,13.841800,13.910000
1526464585,12.221500,12.322200
1526202443,13.841900,13.910000
1526202444,13.820600,13.920000
1526202445,13.820700,13.920000
1526464590,12.221700,12.322200
1526464591,12.221700,12.348300
1526202448,13.820600,13.920000
1526202449,13.820800,13.920000
1526202450,13.820900,13.930000
1526202451,13.830000,13.910000
1526464597,12.221900,12.322000
1526464598,12.221900,12.321900
1526202456,13.830100,13.921500
1526202457,13.830100,13.920000
1526464602,12.221900,12.348300
1526202459,13.830200,13.919900
1526464604,12.222000,12.321800
1526202462,13.830200,13.910000
1526464608,12.222200,12.321500
1526464528,12.221300,12.321000
1526202466,13.830300,13.910000
1526202467,13.830400,13.910000
1526202468,13.830400,13.930000
1526202470,13.830400,13.929900
1526202471,13.830500,13.929900
1526202472,13.830900,13.929900
1526202473,13.830900,13.929500
1526202474,13.830900,13.920000
1526202475,13.831000,13.920000
1526202476,13.831000,13.919900
1526464621,12.222600,12.335200
1526464622,12.222600,12.335100
1526202479,13.831100,13.910000
1526464624,12.222700,12.335000
1526202481,13.831200,13.910000
1526464626,12.222700,12.335000
1526464627,12.222900,12.335000
1526202484,13.831300,13.910000
1526464630,12.222800,12.335000
1526202487,13.831300,13.909900
1526202488,13.831400,13.909900
1526202489,13.831400,13.900000
1526202490,13.831500,13.900000
1526464635,12.223000,12.334800
1526202492,13.831500,13.899900
1526464637,12.223100,12.334800
1526202494,13.831500,13.899800
1526202495,13.831600,13.890000
1526464640,12.223200,12.334700
1526202499,13.831700,13.890000
1526464644,12.223400,12.334600
1526464534,12.221400,12.320600
1526202503,13.831800,13.890000
1526464650,12.223500,12.334600
1526202507,13.831900,13.890000
1526202509,13.832000,13.890000
1526202511,13.832000,13.900000
1526464656,12.223600,12.334200
1526202515,13.832100,13.900000
1526464660,12.224100,12.333800
1526464661,12.224100,12.333700
