time,bid,ask
1526177792,1.00050000,1.00060000
1526267905,0.99920000,1.00010000
1526267907,0.99930000,1.00010000
1526296583,0.99960000,0.99990000
1526267915,0.99930000,1.00000000
1526300684,0.99980000,0.99990000
1526317070,0.99940000,0.99970000
1526234284,1.00050000,1.00110000
1526255637,1.00030000,1.00040000
1526222870,0.99970000,0.99980000
1526226975,0.99990000,1.00000000
1526198312,1.00020000,1.00050000
1526198313,1.00020000,1.00040000
1526198314,1.00030000,1.00040000
1526313003,0.99980000,0.99990000
1526214700,1.00020000,1.00040000
1526313005,0.99990000,1.00000000
1526317103,0.99950000,0.99960000
1526267952,0.99940000,1.00000000
1526313010,0.99980000,1.00000000
1526313012,0.99990000,1.00000000
1526313013,0.99980000,1.00000000
1526200329,1.00040000,1.00060000
1526222906,0.99970000,0.99990000
1526222907,0.99970000,0.99980000
1526250848,1.00050000,1.00060000
1526259778,0.99990000,1.00000000
1526243395,1.00000000,1.00020000
1526308935,0.99960000,0.99970000
1526214731,1.00030000,1.00040000
1526247500,1.00020000,1.00050000
1526313038,0.99980000,0.99990000
1526263888,0.99990000,1.00000000
1526188595,1.00050000,1.00060000
1526313042,0.99950000,1.00000000
1526267988,0.99940000,0.99990000
1526218837,1.00010000,1.00020000
1526267990,0.99930000,0.99990000
1526186681,1.00050000,1.00060000
1526206558,1.00020000,1.00050000
1526220133,0.99930000,1.00000000
1526268000,0.99920000,0.99990000
1526252219,1.00060000,1.00170000
1526177896,1.00050000,1.00060000
1526268010,0.99920000,0.99940000
1526243435,1.00000000,1.00010000
1526206577,1.00020000,1.00060000
1526247539,1.00020000,1.00040000
1526268024,0.99930000,0.99940000
1526235257,1.00080000,1.00110000
1526255744,1.00020000,1.00040000
1526255745,1.00030000,1.00040000
1526173826,1.00030000,1.00040000
1526296707,0.99940000,0.99980000
1526206486,1.00040000,1.00050000
1526317190,0.99950000,1.00000000
1526296711,0.99940000,0.99980000
1526227087,0.99950000,1.00000000
1526227088,0.99960000,1.00000000
1526313106,0.99960000,0.99990000
1526296723,0.99940000,0.99970000
1526198420,1.00020000,1.00040000
1526224238,0.99950000,0.99970000
1526313110,0.99990000,1.00000000
1526247576,1.00030000,1.00040000
1526313113,0.99960000,1.00000000
1526218908,1.00010000,1.00030000
1526218909,1.00020000,1.00030000
1526305477,0.99930000,0.99960000
1526268065,0.99920000,0.99940000
1526222150,0.99960000,0.99980000
1526206630,1.00030000,1.00050000
1526268072,0.99930000,0.99940000
1526268073,0.99980000,0.99990000
1526239402,1.00020000,1.00030000
1526268077,0.99940000,0.99990000
1526243291,1.00000000,1.00010000
1526268079,0.99980000,0.99990000
1526268080,0.99940000,0.99990000
1526268082,0.99980000,0.99990000
1526268083,0.99940000,0.99990000
1526255797,0.99980000,1.00000000
1526176457,1.00060000,1.00070000
1526268088,0.99940000,0.99980000
1526231225,1.00010000,1.00030000
1526165690,1.00020000,1.00030000
1526198459,1.00030000,1.00040000
1526268094,0.99930000,0.99980000
1526268095,0.99950000,0.99970000
1526251712,1.00050000,1.00060000
1526235329,1.00080000,1.00100000
1526223050,0.99960000,0.99970000
1526255822,0.99980000,1.00000000
1526268111,0.99940000,0.99970000
1526255824,0.99990000,1.00000000
1526268113,0.99960000,0.99970000
1526227154,0.99970000,1.00000000
1526227155,0.99970000,0.99990000
1526268117,0.99970000,1.00020000
1526259926,0.99990000,1.00000000
1526309079,0.99950000,0.99980000
1526268120,0.99960000,1.00020000
1526313178,0.99970000,0.99990000
1526296795,0.99960000,0.99970000
1526165724,1.00020000,1.00040000
1526165725,1.00030000,1.00040000
1526218333,1.00020000,1.00030000
1526268127,1.00000000,1.00020000
1526309584,0.99930000,0.99940000
1526263163,0.99980000,0.99990000
1526268132,1.00000000,1.00010000
1526317288,0.99970000,0.99980000
1526214012,1.00030000,1.00040000
1526268141,0.99990000,1.00010000
1526223086,0.99960000,0.99990000
1526223087,0.99960000,0.99980000
1526305008,0.99980000,1.00000000
1526305010,0.99980000,0.99990000
1526243575,1.00000000,1.00020000
1526243576,1.00000000,1.00010000
1526267844,0.99940000,0.99960000
1526264063,0.99980000,0.99990000
1526268168,1.00000000,1.00010000
1526233132,1.00040000,1.00120000
1526223122,0.99970000,0.99980000
1526200366,1.00040000,1.00050000
1526227227,0.99970000,0.99980000
1526219017,1.00010000,1.00030000
1526248837,1.00050000,1.00060000
1526247715,1.00000000,1.00030000
1526239524,1.00000000,1.00010000
1526198565,1.00030000,1.00040000
1526313256,0.99970000,0.99980000
1526317356,0.99960000,0.99980000
1526268207,0.99980000,1.00010000
1526202674,1.00000000,1.00010000
1526219059,1.00020000,1.00030000
1526239542,1.00010000,1.00030000
1526203785,1.00020000,1.00060000
1526174011,1.00010000,1.00030000
1526174012,1.00020000,1.00030000
1526309181,0.99950000,0.99960000
1526178112,1.00050000,1.00060000
1526268225,0.99980000,1.00000000
1526260036,0.99980000,1.00000000
1526188086,1.00050000,1.00060000
