time,price,volume,buy_or_sell,market_or_limit,misc
1526579200.3767,1.00000000,548.63992288,s,l,
1526267905.6944,0.99930000,30.02101000,s,l,
1526443039.1697,1.00200000,0.19920240,b,l,
1526289762.1158,1.00000000,30.00540000,b,l,
1526267905.6973,0.99920000,27.10885329,s,l,
1526337172.645,0.99990000,30.94191000,b,l,
1526530061.5109,1.00000000,20.00000000,b,m,
1526267918.2552,0.99930000,27.07263388,s,l,
1526131373.0491,1.00070000,1362.42500000,b,l,
1526267921.6136,0.99930000,54.14054722,s,l,
1526510563.4574,1.00000000,8158.18807341,s,m,
1526521519.1483,1.00070000,29.99490000,b,m,
1526642094.8951,0.99910000,470.47897320,b,l,
1526594867.2839,1.00060000,29.99550000,b,l,
1526663857.7415,1.00030000,75.00000000,s,l,
1526125120.9559,0.99970000,34.31874000,s,m,
1526473953.1773,1.00090000,34.37931000,s,l,
1526125120.9667,0.99960000,34.32262000,s,m,
1526252610.6,1.00050000,34.34673000,s,l,
1526172546.1544,1.00030000,34.33411000,b,m,
1526521593.6816,1.00000000,0.00001736,s,m,
1526579255.576,1.00010000,75.00000000,s,l,
1526601926.723,1.00010000,30.14906000,s,l,
1526267963.7635,0.99940000,42.91400000,s,l,
1526332760.2921,1.00000000,844.06730000,b,m,
1526486097.0865,1.00070000,29.98441000,b,l,
1526267970.4874,0.99940000,32.08599988,s,l,
1526300740.5168,0.99990000,19.10978000,b,m,
1526399045.6585,1.00000000,21380.86741327,s,m,
1526168065.9292,1.00010000,34.33391000,s,m,
1526289762.0338,1.00000000,30.01011000,b,l,
1526267918.2508,0.99930000,30.02101000,s,l,
1526267990.5586,0.99940000,75.00000000,s,l,
1526295225.2343,0.99960000,75.00000000,s,m,
1526267993.8999,0.99930000,30.02001016,s,l,
1526267997.1954,0.99930000,30.02101000,s,l,
1526268000.566,0.99930000,8.15644255,s,l,
1526125121.0196,0.99930000,34.32262000,s,m,
1526140287.5432,1.00050000,8410.17909450,s,m,
1526268005.7771,0.99920000,194.31502114,s,l,
1526333542.8643,1.00000000,14.93460000,b,m,
1526267921.61,0.99930000,2.94837612,s,l,
1526289767.386,1.00010000,10356.93324971,b,l,
1526577306.7198,1.00060000,29.99250000,b,m,
1526268019.5303,0.99920000,194.16224730,s,l,
1526386971.107,1.00000000,31.43768000,b,m,
1526268027.2433,0.99930000,74.99996540,s,l,
1526582137.3689,1.00030000,29.99640000,b,m,
1526228922.4607,1.00070000,34.33419000,b,m,
1526202501.3127,1.00010000,35.09333319,s,l,
1526317190.7683,0.99990000,30.94007000,b,m,
1526174297.573,1.00050000,34.33388000,b,m,
1526483991.2047,1.00050000,0.07120123,s,m,
1526588087.9547,1.00000000,0.03984048,s,m,
1526300814.8712,0.99980000,0.00000024,s,m,
1526127618.723,0.99900000,23.57883561,s,m,
1526456291.0548,0.99990000,30.01651000,b,l,
1526248847.1046,1.00060000,34.36474000,b,m,
1526317527.1783,0.99940000,0.00010091,s,m,
1526255797.5366,1.00030000,75.00000000,s,l,
1526349981.6705,1.00000000,26.06922742,s,m,
1526455889.161,1.00020000,34.39590000,s,l,
1526309957.8815,0.99940000,30.94230000,s,m,
1526268065.9433,0.99930000,75.00000000,s,l,
1526251683.0707,1.00050000,34.35266000,b,l,
1526644281.7121,0.99980000,31.58499000,b,l,
1526595752.1849,1.00030000,74.93651905,s,l,
1526268073.2062,0.99940000,30.02342000,b,l,
1526595754.9859,1.00020000,13.55711267,s,l,
1526517974.8721,1.00080000,75.00000000,s,m,
