time,bid,ask
1526933971,8384.20000,8384.40000
1526988819,8205.00000,8206.90000
1526988822,8205.10000,8213.80000
1526988824,8207.00000,8210.00000
1526988825,8207.00000,8211.00000
1526988826,8209.90000,8211.00000
1526988827,8213.60000,8213.80000
1526988828,8210.70000,8214.80000
1526988830,8210.70000,8214.20000
1526988834,8213.60000,8214.40000
1526988835,8214.40000,8214.80000
1526988836,8214.70000,8214.80000
1526988837,8214.70000,8224.90000
1526988838,8215.20000,8224.90000
1526988839,8215.20000,8220.30000
1526988841,8215.20000,8220.30000
1526988842,8218.50000,8220.30000
1526988847,8220.20000,8220.30000
1526988848,8218.50000,8220.30000
1526988849,8218.60000,8220.30000
1526999731,8241.40000,8243.80000
1526988853,8220.20000,8220.30000
1526988857,8220.20000,8224.60000
1526988859,8220.20000,8220.40000
1526988862,8220.30000,8220.40000
1526934197,8387.80000,8391.20000
1526988866,8220.20000,8224.50000
1526988872,8220.20000,8228.40000
1526988873,8218.60000,8220.20000
1526999735,8240.00000,8243.80000
1526988878,8214.40000,8218.20000
1526988880,8214.40000,8220.20000
1526988881,8214.30000,8220.20000
1526988882,8214.40000,8218.10000
1526988883,8214.50000,8218.10000
1526988884,8214.50000,8220.20000
1526988885,8214.50000,8220.20000
1526988887,8214.40000,8220.20000
1526988889,8214.50000,8220.20000
1526988891,8214.80000,8220.20000
1526988893,8216.70000,8220.10000
1526999739,8243.70000,8243.80000
1526988902,8216.70000,8220.00000
1526988903,8210.20000,8220.00000
1526988904,8206.40000,8220.00000
1526988905,8206.40000,8219.90000
1526988906,8206.40000,8216.70000
1526988907,8206.40000,8219.90000
1526988908,8206.40000,8216.60000
1526988909,8207.00000,8207.60000
1526988910,8207.00000,8216.60000
1526988911,8207.10000,8216.60000
1526988912,8207.10000,8207.30000
1526988913,8207.10000,8216.60000
1526988914,8207.10000,8216.40000
1526988916,8207.10000,8216.60000
1526988917,8207.10000,8207.20000
1526988918,8206.60000,8207.20000
1526988919,8205.00000,8207.20000
1526988920,8205.00000,8216.30000
1526988922,8205.10000,8216.30000
1526988923,8211.60000,8216.50000
1526988925,8211.60000,8216.20000
1526988927,8212.90000,8216.20000
1526934208,8389.20000,8395.00000
1526988930,8212.90000,8215.40000
1526988931,8212.90000,8216.50000
1526988934,8212.90000,8215.50000
1526988936,8212.90000,8219.80000
1526988937,8205.20000,8214.50000
1526988938,8205.30000,8214.10000
1526988941,8205.40000,8214.10000
1526988946,8205.10000,8214.10000
1526988947,8205.50000,8214.10000
