time,price,volume,buy_or_sell,market_or_limit,misc
1526925620.1919,8372.50000,1.20000000,s,l,
1526988803.7435,8205.00000,3.01800000,s,l,
1526988808.5421,8205.00000,0.20215500,s,l,
1526988810.1813,8205.00000,0.38458185,s,l,
1527021581.9309,8185.20000,0.00610776,b,l,
1526988814.0822,8205.00000,0.95000000,s,l,
1526988816.5981,8205.00000,0.13470000,s,l,
1527017527.9927,8155.90000,0.36296210,s,l,
1526988819.6935,8205.10000,0.30000000,b,l,
1526988822.1911,8206.90000,0.00000860,b,l,
1527021591.3491,8185.20000,0.00842243,s,l,
1526923288.4944,8396.40000,0.23771828,s,m,
1526988825.8782,8210.00000,1.00000000,b,l,
1527021594.208,8186.00000,0.21654000,s,l,
1526988827.512,8211.00000,0.21625756,b,l,
1526988828.9922,8210.70000,0.01400000,s,l,
1527027034.4873,8087.90000,0.07506328,b,l,
1526988830.7482,8210.70000,3.01800000,s,l,
1526982844.5204,8221.10000,0.02000000,s,m,
1526988834.1481,8213.70000,0.30000000,b,l,
1526988835.3987,8214.40000,0.21625756,b,l,
1526953962.9449,8288.50000,0.09580015,s,m,
1527030472.6556,8009.30000,0.07843392,b,l,
1526923309.9073,8398.30000,0.01000000,b,m,
1526923311.0532,8396.40000,0.46636147,s,l,
1526988848.0575,8220.20000,0.09570476,s,l,
1526988849.5,8218.50000,0.12127465,s,l,
1526959067.3348,8299.50000,0.00225936,s,l,
1526988853.1689,8218.60000,0.75458358,s,l,
1526988856.8041,8220.20000,0.14132503,s,l,
1526988857.1194,8220.20000,0.12113209,s,l,
1526988858.6222,8220.20000,0.14866480,s,l,
1526952846.6079,8265.70000,0.01085500,s,l,
1526988860.6596,8220.20000,0.07768536,s,l,
1526939658.6563,8382.90000,0.02858965,b,l,
1527021631.3461,8185.30000,0.42225584,b,m,
1526988868.2416,8220.20000,0.00200000,s,l,
1527017877.8737,8150.00000,0.08912674,b,l,
1526925805.3013,8304.70000,0.01000000,s,l,
1526988873.9691,8220.20000,0.21663601,s,l,
1526935093.3038,8425.80000,0.08850000,b,m,
1526923341.2473,8394.00000,0.50000000,s,m,
1527022678.6479,8100.80000,1.32838000,s,l,
1527023446.614,8085.50000,0.07066110,s,m,
1526988814.2022,8205.00000,0.09060000,s,l,
1527029443.9945,7968.10000,0.00000500,s,m,
1526956119.6609,8288.10000,0.15054325,b,l,
1526956120.3208,8288.10000,0.00047662,b,l,
1526923353.7416,8396.00000,0.01710000,b,l,
1526956123.7747,8288.00000,0.00375970,s,l,
1526956124.4034,8288.10000,0.02520000,b,l,
1526988903.4214,8216.70000,0.09498290,s,m,
1526956136.0938,8288.10000,0.01206000,b,l,
1526956141.1409,8288.10000,0.04757219,b,l,
1527028730.1177,8033.00000,0.03497014,s,l,
1527021680.2401,8181.00000,0.00550000,s,l,
1527010664.1846,8219.40000,0.01192541,b,m,
1526988917.5988,8207.10000,0.05000000,s,m,
1526988531.0984,8236.00000,0.08373303,s,l,
1526988920.6864,8205.00000,0.13000000,s,m,
1526923387.558,8396.00000,0.03810000,b,l,
1526988929.9971,8216.20000,0.64180000,b,m,
1526988930.0005,8216.50000,0.35820000,b,m,
1526956163.145,8294.60000,0.30000000,s,m,
1526988822.1865,8206.90000,0.00861072,b,l,
1527017992.7379,8150.00000,0.01360106,b,l,
1526923399.9088,8395.60000,0.04764000,s,l,
1526928748.2969,8346.80000,0.05801491,s,l,
1527021591.3574,8185.00000,1.99024862,s,l,
1526988940.4066,8214.10000,0.52800000,b,m,
1527016130.5453,8214.40000,0.02500000,b,m,
1526931793.5051,8387.80000,0.10000000,b,m,
1526923288.4965,8396.40000,0.00042025,s,m,
1526979803.8832,8263.00000,0.15000000,s,m,
1526956120.325,8288.10000,0.19000000,b,l,
1526950558.246,8334.40000,2.96641261,s,m,
1527021738.0246,8185.00000,0.13210000,b,l,
1526988830.8742,8214.20000,1.67500000,b,l,
1526987442.0594,8257.00000,0.76980124,s,l,
1526953002.2876,8265.00000,0.15000000,s,m,
1526984657.2057,8250.00000,0.00317097,s,m,
1526965292.1266,8273.60000,1.07545909,s,m,
1527028757.3372,8002.30000,0.05497922,s,l,
1526989000.416,8215.60000,0.00013713,s,l,
1526988529.2127,8236.00000,0.03089914,s,l,
1526988834.152,8214.20000,0.67600000,b,l,
1526923470.2593,8395.70000,0.10000000,s,l,
1526989009.0571,8215.90000,0.01000000,s,l,
1526923474.9212,8396.00000,0.44457853,b,l,
1527021779.2938,8181.00000,0.09250000,s,l,
1526956244.5916,8292.30000,0.00400000,s,m,
1526923477.3957,8396.30000,0.50000000,s,l,
1526954760.9873,8257.70000,2.55824879,s,m,
1526956251.2872,8298.70000,0.58000000,b,m,
1526961530.4459,8317.30000,0.09824805,b,l,
1527021791.0551,8181.20000,0.00200000,b,l,
1526989024.3851,8221.30000,0.14876385,s,l,
1526989026.3584,8221.20000,0.04509546,s,l,
1527021796.0274,8180.70000,0.00206063,b,l,
1526923493.0263,8399.00000,0.00060060,b,l,
1526989030.9359,8221.20000,0.00329169,s,l,
1526994300.4514,8193.30000,0.01600000,s,l,
1526923498.9305,8398.30000,0.00002137,s,m,
1526925767.1736,8348.00000,0.86308365,s,l,
1527008693.8576,8201.20000,0.00520051,s,l,
1526994301.4887,8200.00000,0.00015948,b,m,
1527017595.8275,8150.00000,0.11101571,s,l,
1526996173.2096,8224.70000,0.13000000,b,m,
1526989043.0456,8221.50000,0.00402268,s,l,
1526991136.1408,8175.00000,0.31350620,s,l,
